"Ligand","Receptor"
"Potri.001G001100.v4.1","Potri.007G002000.v4.1"
"Potri.001G092200.v4.1","Potri.003G094700.v4.1"
"Potri.001G191400.v4.1","Potri.008G140500.v4.1"
"Potri.001G237700.v4.1","Potri.003G107600.v4.1"
"Potri.001G376200.v4.1","Potri.007G009200.v4.1"
"Potri.001G459200.v4.1","Potri.015G061600.v4.1"
"Potri.001G459200.v4.1","Potri.019G094700.v4.1"
"Potri.001G462600.v4.1","Potri.002G240000.v4.1"
"Potri.002G084800.v4.1","Potri.001G190200.v4.1"
"Potri.002G084800.v4.1","Potri.002G226600.v4.1"
"Potri.002G084800.v4.1","Potri.008G009300.v4.1"
"Potri.002G084800.v4.1","Potri.008G034000.v4.1"
"Potri.002G089200.v4.1","Potri.008G090400.v4.1"
"Potri.002G112900.v4.1","Potri.012G130400.v4.1"
"Potri.002G202600.v4.1","Potri.004G231700.v4.1"
"Potri.002G249600.v4.1","Potri.019G094700.v4.1"
"Potri.002G249901.v4.1","Potri.006G220100.v4.1"
"Potri.002G249901.v4.1","Potri.012G130400.v4.1"
"Potri.002G256300.v4.1","Potri.011G163700.v4.1"
"Potri.002G256300.v4.1","Potri.012G130400.v4.1"
"Potri.003G026800.v4.1","Potri.008G090400.v4.1"
"Potri.003G038500.v4.1","Potri.008G140500.v4.1"
"Potri.003G112700.v4.1","Potri.006G073900.v4.1"
"Potri.003G112700.v4.1","Potri.015G141200.v4.1"
"Potri.004G015300.v4.1","Potri.008G140500.v4.1"
"Potri.004G040700.v4.1","Potri.004G231700.v4.1"
"Potri.004G044900.v4.1","Potri.001G467000.v4.1"
"Potri.004G044900.v4.1","Potri.009G120400.v4.1"
"Potri.004G044900.v4.1","Potri.013G042500.v4.1"
"Potri.004G061300.v4.1","Potri.002G111700.v4.1"
"Potri.004G061300.v4.1","Potri.019G078400.v4.1"
"Potri.004G188200.v4.1","Potri.008G144700.v4.1"
"Potri.004G188200.v4.1","Potri.011G116900.v4.1"
"Potri.004G234800.v4.1","Potri.002G111700.v4.1"
"Potri.004G234800.v4.1","Potri.019G078400.v4.1"
"Potri.005G025800.v4.1","Potri.001G234200.v4.1"
"Potri.005G025800.v4.1","Potri.001G405500.v4.1"
"Potri.005G025800.v4.1","Potri.001G467000.v4.1"
"Potri.005G025800.v4.1","Potri.005G055200.v4.1"
"Potri.005G025800.v4.1","Potri.013G042500.v4.1"
"Potri.005G025800.v4.1","Potri.016G138700.v4.1"
"Potri.005G069200.v4.1","Potri.001G129000.v4.1"
"Potri.005G136700.v4.1","Potri.002G111700.v4.1"
"Potri.005G136700.v4.1","Potri.019G078400.v4.1"
"Potri.005G139100.v4.1","Potri.005G055200.v4.1"
"Potri.005G139100.v4.1","Potri.009G120400.v4.1"
"Potri.005G139100.v4.1","Potri.013G042500.v4.1"
"Potri.006G026450.v4.1","Potri.018G090300.v4.1"
"Potri.006G052700.v4.1","Potri.004G049100.v4.1"
"Potri.006G118300.v4.1","Potri.004G049100.v4.1"
"Potri.006G122900.v4.1","Potri.009G081800.v4.1"
"Potri.006G149700.v4.1","Potri.018G147300.v4.1"
"Potri.006G183200.v4.1","Potri.005G086500.v4.1"
"Potri.006G232600.v4.1","Potri.019G129100.v4.1"
"Potri.006G263200.v4.1","Potri.002G240000.v4.1"
"Potri.006G263200.v4.1","Potri.008G034000.v4.1"
"Potri.006G263200.v4.1","Potri.012G090500.v4.1"
"Potri.007G006800.v4.1","Potri.008G144700.v4.1"
"Potri.007G006800.v4.1","Potri.011G116900.v4.1"
"Potri.007G018100.v4.1","Potri.008G140500.v4.1"
"Potri.007G053400.v4.1","Potri.019G094700.v4.1"
"Potri.007G120501.v4.1","Potri.019G094700.v4.1"
"Potri.007G122100.v4.1","Potri.008G140500.v4.1"
"Potri.007G122351.v4.1","Potri.003G124800.v4.1"
"Potri.008G093500.v4.1","Potri.006G179400.v4.1"
"Potri.008G093500.v4.1","Potri.013G087200.v4.1"
"Potri.008G139125.v4.1","Potri.001G039200.v4.1"
"Potri.008G139125.v4.1","Potri.001G114500.v4.1"
"Potri.008G139125.v4.1","Potri.002G240000.v4.1"
"Potri.008G139125.v4.1","Potri.003G094700.v4.1"
"Potri.008G139125.v4.1","Potri.003G185688.v4.1"
"Potri.008G139125.v4.1","Potri.003G196600.v4.1"
"Potri.008G139125.v4.1","Potri.004G049100.v4.1"
"Potri.008G139125.v4.1","Potri.004G079700.v4.1"
"Potri.008G139125.v4.1","Potri.004G086100.v4.1"
"Potri.008G139125.v4.1","Potri.004G231700.v4.1"
"Potri.008G139125.v4.1","Potri.005G143200.v4.1"
"Potri.008G139125.v4.1","Potri.006G051700.v4.1"
"Potri.008G139125.v4.1","Potri.007G002000.v4.1"
"Potri.008G139125.v4.1","Potri.007G033801.v4.1"
"Potri.008G139125.v4.1","Potri.009G026600.v4.1"
"Potri.008G139125.v4.1","Potri.009G035500.v4.1"
"Potri.008G139125.v4.1","Potri.018G002600.v4.1"
"Potri.008G139125.v4.1","Potri.019G094600.v4.1"
"Potri.008G139125.v4.1","Potri.019G094700.v4.1"
"Potri.008G208200.v4.1","Potri.001G129000.v4.1"
"Potri.008G208200.v4.1","Potri.001G234200.v4.1"
"Potri.008G208200.v4.1","Potri.001G467000.v4.1"
"Potri.008G208200.v4.1","Potri.016G138700.v4.1"
"Potri.009G006900.v4.1","Potri.008G140500.v4.1"
"Potri.009G012400.v4.1","Potri.015G061600.v4.1"
"Potri.009G069900.v4.1","Potri.001G039200.v4.1"
"Potri.009G069900.v4.1","Potri.003G074000.v4.1"
"Potri.009G069900.v4.1","Potri.011G116900.v4.1"
"Potri.009G069900.v4.1","Potri.011G139700.v4.1"
"Potri.009G076500.v4.1","Potri.011G164800.v4.1"
"Potri.009G083300.v4.1","Potri.019G094700.v4.1"
"Potri.009G119900.v4.1","Potri.001G075000.v4.1"
"Potri.009G119900.v4.1","Potri.003G156200.v4.1"
"Potri.010G089050.v4.1","Potri.002G111700.v4.1"
"Potri.010G089050.v4.1","Potri.019G078400.v4.1"
"Potri.010G130400.v4.1","Potri.005G241500.v4.1"
"Potri.010G130400.v4.1","Potri.006G179400.v4.1"
"Potri.010G130400.v4.1","Potri.013G087200.v4.1"
"Potri.010G131500.v4.1","Potri.004G049100.v4.1"
"Potri.010G131500.v4.1","Potri.012G090500.v4.1"
"Potri.010G131500.v4.1","Potri.013G117200.v4.1"
"Potri.010G158250.v4.1","Potri.008G140500.v4.1"
"Potri.011G025400.v4.1","Potri.007G002000.v4.1"
"Potri.011G110500.v4.1","Potri.001G385200.v4.1"
"Potri.011G118600.v4.1","Potri.007G002000.v4.1"
"Potri.012G102900.v4.1","Potri.015G141200.v4.1"
"Potri.013G005700.v4.1","Potri.019G094600.v4.1"
"Potri.013G005700.v4.1","Potri.019G094700.v4.1"
"Potri.013G116600.v4.1","Potri.006G220100.v4.1"
"Potri.013G116600.v4.1","Potri.008G144700.v4.1"
"Potri.013G116600.v4.1","Potri.012G130400.v4.1"
"Potri.013G119100.v4.1","Potri.005G241500.v4.1"
"Potri.013G119100.v4.1","Potri.006G179400.v4.1"
"Potri.013G134300.v4.1","Potri.001G039200.v4.1"
"Potri.013G136100.v4.1","Potri.006G220100.v4.1"
"Potri.013G136100.v4.1","Potri.012G130400.v4.1"
"Potri.014G006900.v4.1","Potri.008G144700.v4.1"
"Potri.014G074600.v4.1","Potri.008G144700.v4.1"
"Potri.014G074600.v4.1","Potri.017G094400.v4.1"
"Potri.014G129400.v4.1","Potri.001G129000.v4.1"
"Potri.014G149900.v4.1","Potri.002G226600.v4.1"
"Potri.015G024200.v4.1","Potri.008G090400.v4.1"
"Potri.015G087400.v4.1","Potri.002G111700.v4.1"
"Potri.015G087400.v4.1","Potri.019G078400.v4.1"
"Potri.016G042500.v4.1","Potri.015G123800.v4.1"
"Potri.016G042500.v4.1","Potri.019G129100.v4.1"
"Potri.017G074600.v4.1","Potri.006G179400.v4.1"
"Potri.017G074600.v4.1","Potri.007G009200.v4.1"
"Potri.017G074600.v4.1","Potri.013G087200.v4.1"
"Potri.017G083000.v4.1","Potri.007G033801.v4.1"
"Potri.017G083000.v4.1","Potri.008G140500.v4.1"
"Potri.017G124200.v4.1","Potri.004G086100.v4.1"
"Potri.017G144361.v4.1","Potri.015G141200.v4.1"
"Potri.019G083900.v4.1","Potri.017G095900.v4.1"
"Potri.019G083900.v4.1","Potri.017G096000.v4.1"
